order,species,family,locomotion,logmass,mig,hetero,abslat,latitude,diet,hemisphere,habitat_category,habitat_sub,mig.het1,mig.het2
Chiroptera,Myotis_velifer,Vespertilionidae,A,1,1,1,27.46,27.46,Insectivore,N,Forest,TEF,3,1
Chiroptera,Myotis_volans,Vespertilionidae,A,0.93,1,1,42.1,42.1,Insectivore,N,Forest,TEF,3,1
Chiroptera,Myotis_yumanensis,Vespertilionidae,A,0.73,1,1,37.87,37.87,Insectivore,N,Forest,TEF,3,1
Chiroptera,Nyctalus_lasiopterus,Vespertilionidae,A,1.7,1,1,48.63,48.63,Insectivore,N,Forest,TEF,3,1
Chiroptera,Nyctalus_leisleri,Vespertilionidae,A,1.12,1,1,47.39,47.39,Insectivore,N,Forest,TEF,3,1
Chiroptera,Nyctalus_noctula,Vespertilionidae,A,1.45,1,1,47.63,47.63,Insectivore,N,Forest,TEF,3,1
Chiroptera,Nycteris_thebaica,Nycteridae,A,0.99,1,1,2.54,-2.54,Insectivore,S,Forest,TRF,3,1
Chiroptera,Nycticeius_humeralis,Vespertilionidae,A,0.95,1,1,35.33,35.33,Insectivore,N,Forest,TEF,3,1
Chiroptera,Nyctinomops_macrotis,Molossidae,A,1.26,1,1,0.19,-0.19,Insectivore,S,Forest,TEF,3,1
Chiroptera,Pipistrellus_nathusii,Vespertilionidae,A,0.86,1,1,50.17,50.17,Insectivore,N,Forest,TEF,3,1
Chiroptera,Pipistrellus_pipistrellus,Vespertilionidae,A,0.76,1,1,42.22,42.22,Insectivore,N,Forest,TEF,3,1
Chiroptera,Pipistrellus_savii,Vespertilionidae,A,0.8,1,1,38.14,38.14,Insectivore,N,Forest,TEF,3,1
Chiroptera,Pipistrellus_subflavus,Vespertilionidae,A,0.76,1,1,35.78,35.78,Insectivore,N,Forest,TEF,3,1
Chiroptera,Rhinolophus_hipposideros,Rhinolophidae,A,0.67,1,1,40.39,40.39,Insectivore,N,Forest,TEF,3,1
Chiroptera,Tadarida_brasiliensis,Molossidae,A,1.1,1,1,2.83,2.83,Insectivore,N,Forest,TEF,3,1
Chiroptera,Taphozous_mauritianus,Emballonuridae,A,1.44,1,1,5.78,-5.78,Insectivore,S,Forest,TRF,3,1
