species	logmass3	region3	migstatus3	locomotion3
Ovibos_moschatus	5.57	polar	0	T
Capra_ibex	4.84	temperate	1	T
Capra_falconeri	4.61	subtropical	1	T
Capra_cylindricornis	4.7	temperate	1	T
Ovis_canadensis	4.87	temperatesubtrop	1	T
Ovis_ammon	5.26	temperatesubtrop	1	T
Ammotragus_lervia	4.68	subtroptropical	0	T
Damaliscus_lunatus	5.13	tropical	1	T
Connochaetes_taurinus	5.26	tropical	1	T
Connochaetes_gnou	5.26	subtropical	1	T
Alcelaphus_buselaphus	5.23	subtroptropical	1	T
Hippotragus_niger	5.36	tropical	0	T
Hippotragus_equinus	5.43	tropical	0	T
Oryx_dammah	5.3	subtroptropical	1	T
Cynocephalus_volans	3.1	tropical	0	T
Nycticebus_pygmaeus	2.95	tropical	0	T
Nycticebus_coucang	3.07	tropical	0	T
Loris_tardigradus	2.33	tropical	0	T
Daubentonia_madagascariensis	3.4	tropical	0	T
Callimico_goeldii	2.68	tropical	0	T
Ateles_paniscus	3.9	tropical	0	T
Ateles_geoffroyi	3.72	tropical	0	T
Ateles_fusciceps	3.96	tropical	0	T
Ateles_marginatus	3.78	tropical	0	T
Ateles_chamek	3.78	tropical	0	T
Alouatta_sara	3.82	tropical	0	T
Alouatta_pigra	3.85	tropical	0	T
Alouatta_palliata	3.86	tropical	0	T
Alouatta_caraya	3.77	tropical	0	T
Alouatta_belzebul	3.81	tropical	0	T
Gorilla_gorilla	5.09	tropical	1	T
Trachypithecus_johnii	4.13	tropical	0	T
Trachypithecus_geei	3.92	subtropical	0	T
Semnopithecus_entellus	4.16	tropical	0	T
Colobus_satanas	3.64	tropical	0	T
Colobus_polykomos	3.99	tropical	0	T
Colobus_guereza	4.01	tropical	0	T
Colobus_angolensis	3.99	tropical	0	T
Macaca_fascicularis	3.68	tropical	0	T
Macaca_arctoides	3.7	tropical	1	T
Papio_hamadryas	4.33	tropical	0	T
Cercocebus_torquatus	3.89	tropical	0	T
Cercocebus_galeritus	3.89	tropical	0	T
Cercocebus_agilis	3.9	tropical	0	T
Cercopithecus_solatus	3.81	tropical	0	T
Cercopithecus_preussi	3.72	tropical	0	T
Cercopithecus_lhoesti	3.73	tropical	0	T
Cercopithecus_hamlyni	3.84	tropical	0	T
Cercopithecus_neglectus	3.74	tropical	0	T
Cercopithecus_dryas	3.49	tropical	0	T
Cercopithecus_diana	3.62	tropical	0	T
Cercopithecus_pogonias	3.58	tropical	0	T
Cercopithecus_mona	3.67	tropical	0	T
Cercopithecus_campbelli	3.61	tropical	0	T
Cercopithecus_nictitans	3.73	tropical	0	T
Cercopithecus_mitis	3.7	subtroptropical	0	T
Cercopithecus_sclateri	3.53	tropical	0	T
Cercopithecus_petaurista	3.44	tropical	0	T
Cercopithecus_erythrotis	3.51	tropical	0	T
Cercopithecus_erythrogaster	3.4	tropical	0	T
Cercopithecus_cephus	3.54	tropical	0	T
Cercopithecus_ascanius	3.55	tropical	0	T
Pronolagus_randensis	3.37	tropical	0	T
Romerolagus_diazi	2.68	tropical	0	T
Lepus_saxatilis	3.35	subtropical	0	T
Lepus_europaeus	3.57	temperatesubtrop	0	T
Lepus_californicus	3.38	temperatesubtrop	1	T
Sylvilagus_cunicularius	3.48	tropical	0	T
Sylvilagus_palustris	3.18	subtropical	0	T
Sylvilagus_aquaticus	3.33	subtropical	0	T
Atherurus_africanus	3.29	tropical	0	T
Atherurus_macrourus	3.3	tropical	0	T
Dolichotis_patagonum	3.9	subtropical	0	T
Geocapromys_ingrahami	2.9	subtroptropical	0	T
Geocapromys_brownii	3.18	tropical	0	T
Dasyprocta_prymnolopha	3.46	tropical	0	T
Dasyprocta_mexicana	3.7	tropical	0	T
Dasyprocta_kalinowskii	3.42	tropical	0	T
Dasyprocta_guamara	3.42	tropical	0	T
Dasyprocta_fuliginosa	3.54	tropical	0	T
Dasyprocta_cristata	3.42	tropical	0	T
Dasyprocta_azarae	3.36	tropical	0	T
Dasyprocta_punctata	3.43	tropical	0	T
Galea_flavidens	2.65	tropical	0	T
Galea_spixii	2.51	tropical	0	T
Galea_musteloides	2.68	subtropical	0	T
Dendromus_nyikae	1.18	tropical	0	T
Dendromus_mystacalis	0.88	subtroptropical	0	T
Dendromus_mesomelas	1.01	subtroptropical	0	T
Dendromus_melanotis	0.96	tropical	0	T
Dendromus_lovati	1.08	tropical	0	T
Saccostomus_mearnsi	1.66	tropical	0	T
Saccostomus_campestris	1.71	tropical	0	T
Ondatra_zibethicus	3.06	temperatesubtrop	0	T
Myopus_schisticolor	1.4	temperate	1	T
Lemmus_sibiricus	1.72	polar	0	T
Lemmus_lemmus	1.68	temperate	0	T
Lemmiscus_curtatus	1.45	temperate	0	T
Neotoma_fuscipes	2.36	temperate	0	T
Neotoma_cinerea	2.48	temperate	0	T
Neotoma_phenax	2.36	subtropical	0	T
Neotoma_stephensi	2.18	subtropical	0	T
Neotoma_palatina	2.3	tropical	0	T
Neotoma_nelsoni	2.3	tropical	0	T
Neotoma_micropus	2.38	subtropical	0	T
Neotoma_mexicana	2.31	subtropical	0	T
Neotoma_lepida	2.21	subtropical	0	T
Neotoma_goldmani	2.3	subtropical	0	T
Neotoma_floridana	2.39	temperatesubtrop	0	T
Neotoma_devia	2.3	subtropical	0	T
Neotoma_bryanti	2.26	subtropical	0	T
Neotoma_angustapalata	2.31	tropical	0	T
Neotoma_albigula	2.31	subtropical	0	T
Reithrodontomys_sumichrasti	1.28	tropical	0	T
Reithrodontomys_raviventris	1.04	subtropical	0	T
Reithrodontomys_montanus	1.04	subtropical	0	T
Reithrodontomys_megalotis	0.97	subtropical	0	T
Reithrodontomys_humulis	0.92	subtropical	0	T
Reithrodontomys_chrysopsis	1.28	tropical	0	T
Reithrodontomys_burti	1.3	subtropical	0	T
Reithrodontomys_hirsutus	1.3	tropical	0	T
Reithrodontomys_fulvescens	1.06	subtropical	0	T
Reithrodontomys_tenuirostris	1.3	tropical	0	T
Reithrodontomys_microdon	1.3	tropical	0	T
Reithrodontomys_creper	1.36	tropical	0	T
Reithrodontomys_spectabilis	1.31	tropical	0	T
Reithrodontomys_mexicanus	1.28	tropical	0	T
Reithrodontomys_gracilis	1.09	tropical	0	T
Reithrodontomys_darienensis	1.11	tropical	0	T
Reithrodontomys_brevirostris	1.11	tropical	0	T
Onychomys_torridus	1.4	subtropical	0	T
Onychomys_leucogaster	1.45	temperate	0	T
Onychomys_arenicola	1.48	subtropical	0	T
Peromyscus_zarhynchus	1.6	tropical	0	T
Peromyscus_yucatanicus	1.42	tropical	0	T
Peromyscus_winkelmanni	1.6	tropical	0	T
Peromyscus_truei	1.44	temperatesubtrop	0	T
Peromyscus_stirtoni	1.47	tropical	0	T
Peromyscus_spicilegus	1.56	tropical	0	T
Peromyscus_simulus	1.6	tropical	0	T
Peromyscus_polius	1.6	subtropical	0	T
Peromyscus_polionotus	1.11	subtropical	0	T
Peromyscus_perfulvus	1.6	tropical	0	T
Peromyscus_pectoralis	1.59	subtropical	0	T
Peromyscus_ochraventer	1.6	tropical	0	T
Peromyscus_mexicanus	1.51	tropical	0	T
Peromyscus_merriami	1.6	subtropical	0	T
Peromyscus_melanurus	1.6	tropical	0	T
Peromyscus_melanotis	1.6	subtroptropical	0	T
Peromyscus_melanophrys	1.6	tropical	0	T
Peromyscus_melanocarpus	1.77	tropical	0	T
Peromyscus_mekisturus	1.78	tropical	0	T
Peromyscus_megalops	1.82	tropical	0	T
Peromyscus_maniculatus	1.33	temperate	0	T
Peromyscus_leucopus	1.33	tempsubtroptropical	0	T
Peromyscus_hooperi	1.56	subtropical	0	T
Peromyscus_gymnotis	1.6	tropical	0	T
Peromyscus_guatemalensis	1.6	tropical	0	T
Peromyscus_gratus	1.44	subtropical	0	T
Peromyscus_grandis	1.85	tropical	0	T
Peromyscus_gossypinus	1.47	subtropical	0	T
Peromyscus_furvus	1.52	tropical	0	T
Peromyscus_eva	1.34	subtropical	0	T
Peromyscus_eremicus	1.37	subtropical	0	T
Peromyscus_difficilis	1.45	subtropical	0	T
Peromyscus_crinitus	1.25	subtropical	0	T
Peromyscus_californicus	1.64	subtropical	0	T
